"ticker","secid","tradedate","openprice","highestprice","lowestprice","closeprice","turnovervol","turnovervalue","accumadjfactor","isopen"
"600560","600560.SH","2019-01-02","8.0","8.46","8.0","8.39","9428796.0","7.7652876E7","4.523137","true"
"600560","600560.SH","2019-01-03","8.33","8.6","8.17","8.33","8353000.0","6.9854447E7","4.523137","true"
"600560","600560.SH","2019-01-04","8.21","8.66","8.1","8.58","1.0482359E7","8.85993E7","4.523137","true"
"600560","600560.SH","2019-01-07","8.57","8.72","8.46","8.63","8737251.0","7.491377E7","4.523137","true"
"600560","600560.SH","2019-01-08","8.5","8.58","8.28","8.35","6721050.999999999","5.6404265E7","4.523137","true"
"600560","600560.SH","2019-01-09","8.42","8.64","8.3","8.43","8266834.0","7.02777E7","4.523137","true"
"600560","600560.SH","2019-01-10","8.38","8.62","8.33","8.47","7588310.000000001","6.4313776E7","4.523137","true"
"600560","600560.SH","2019-01-11","8.47","8.67","8.41","8.62","8845544.0","7.5696671E7","4.523137","true"
"600560","600560.SH","2019-01-14","8.57","9.0","8.51","8.84","1.2361934E7","1.08362147E8","4.523137","true"
"600560","600560.SH","2019-01-15","8.86","9.72","8.79","9.72","1.9863323E7","1.86185361E8","4.523137","true"
"600560","600560.SH","2019-01-16","10.09","10.68","9.17","9.25","2.6791957E7","2.6425744E8","4.523137","true"
"600560","600560.SH","2019-01-17","9.11","9.34","8.88","8.97","1.6324307999999998E7","1.4761478E8","4.523137","true"
"600560","600560.SH","2019-01-18","8.76","8.92","8.49","8.49","1.2245908E7","1.05814659E8","4.523137","true"
"600560","600560.SH","2019-01-21","8.52","8.58","8.38","8.45","6420988.0","5.4512269E7","4.523137","true"
"600560","600560.SH","2019-01-22","8.46","8.5","8.3","8.38","4874881.0","4.086282E7","4.523137","true"
"600560","600560.SH","2019-01-23","8.35","8.44","8.32","8.43","3098538.0","2.5979956E7","4.523137","true"
"600560","600560.SH","2019-01-24","8.42","8.48","8.33","8.4","3896900.0","3.27777E7","4.523137","true"
"600560","600560.SH","2019-01-25","8.37","8.4","8.12","8.13","5711338.0","4.7289268E7","4.523137","true"
"600560","600560.SH","2019-01-28","8.15","8.26","8.03","8.03","2961681.0","2.4077394E7","4.523137","true"
"600560","600560.SH","2019-01-29","8.02","8.08","7.81","7.91","3586500.0","2.8394392E7","4.523137","true"
"600560","600560.SH","2019-01-30","7.86","8.02","7.83","7.86","1925748.0","1.5252097E7","4.523137","true"
"600560","600560.SH","2019-01-31","7.86","7.95","7.63","7.85","3539200.0","2.7655391E7","4.523137","true"
"600560","600560.SH","2019-02-01","7.8","8.05","7.8","8.03","2299500.0","1.8333244E7","4.523137","true"
"600560","600560.SH","2019-02-11","8.08","8.33","8.03","8.29","3821933.0","3.1294939E7","4.523137","true"
"600560","600560.SH","2019-02-12","8.3","8.4","8.24","8.35","4156561.0","3.4600777E7","4.523137","true"
"600560","600560.SH","2019-02-13","8.35","8.61","8.27","8.56","7149005.0","6.0552906E7","4.523137","true"
"600560","600560.SH","2019-02-14","8.54","8.7","8.47","8.59","5894961.0","5.0556319E7","4.523137","true"
"600560","600560.SH","2019-02-15","8.61","9.18","8.53","8.69","8563363.0","7.5482372E7","4.523137","true"
"600560","600560.SH","2019-02-18","9.01","9.29","8.86","9.16","1.1824325E7","1.07430923E8","4.523137","true"
"600560","600560.SH","2019-02-19","9.01","9.44","9.01","9.17","1.1567445E7","1.05971543E8","4.523137","true"
"600560","600560.SH","2019-02-20","9.1","9.15","8.89","9.05","6934730.0","6.2539407E7","4.523137","true"
"600560","600560.SH","2019-02-21","9.03","9.19","8.83","8.89","8463056.0","7.6559823E7","4.523137","true"
"600560","600560.SH","2019-02-22","8.93","9.11","8.9","9.09","7548702.0","6.8071238E7","4.523137","true"
"600560","600560.SH","2019-02-25","9.2","9.67","9.13","9.51","1.0820763E7","1.01694024E8","4.523137","true"
"600560","600560.SH","2019-02-26","9.5","10.36","9.32","9.83","1.7113442E7","1.67262262E8","4.523137","true"
"600560","600560.SH","2019-02-27","9.65","10.55","9.54","9.88","1.5710412E7","1.55021146E8","4.523137","true"
"600560","600560.SH","2019-02-28","9.85","10.12","9.6","9.64","7556960.000000001","7.3319637E7","4.523137","true"
"600560","600560.SH","2019-03-01","9.64","9.72","9.47","9.69","5812802.0","5.5758397E7","4.523137","true"
"600560","600560.SH","2019-03-04","9.8","10.08","9.67","9.68","1.125627E7","1.11135633E8","4.523137","true"
"600560","600560.SH","2019-03-05","9.65","10.1","9.65","10.04","1.2366186E7","1.226468E8","4.523137","true"
"600560","600560.SH","2019-03-06","10.06","10.87","9.88","10.56","1.825823E7","1.88950032E8","4.523137","true"
"600560","600560.SH","2019-03-07","10.45","10.84","10.31","10.53","1.4854003E7","1.5690397E8","4.523137","true"
"600560","600560.SH","2019-03-08","10.3","10.52","9.85","9.89","1.0547106E7","1.07682221E8","4.523137","true"
"600560","600560.SH","2019-03-11","9.96","10.77","9.96","10.69","1.2672587E7","1.31490142E8","4.523137","true"
"600560","600560.SH","2019-03-12","10.75","11.49","10.48","11.04","1.8560749E7","2.01478658E8","4.523137","true"
